trace_name,total_original_bytes,total_out_bytes,total_overhead,time_delay_seconds
afc_north_standings_5_30s_burst_5,169980,7500000,7330020,94.66424
alexa_5_40s_burst_5,92990,7500000,7407010,93.309646
do_dogs_dream_5_burst_5,171464,7500000,7328536,95.595015
do_you_like_cats_or_dogs_5_burst_5,115557,7500000,7384443,96.554697
flip_a_coin_5_30s_burst_5,104250,7500000,7395750,93.493867
give_me_a_dinosaur_fact_5_burst_5,112742,7500000,7387258,96.386311
good_morning_5_30s_burst_5,193620,7500000,7306380,96.495715
help_5_30s_burst_5,143569,7500000,7356431,97.764634
how_deep_is_the_indian_ocean_5_30s_burst_5,112741,7500000,7387259,95.234782
how_do_you_spell_appreciate_5_burst_5,161366,7500000,7338634,95.829447
how_far_away_is_the_moon_5_30s_burst_5,132175,7500000,7367825,92.892924
how_hot_is_the_sun_5_burst_5,234987,7500000,7265013,96.587677
how_many_days_are_in_september_5_burst_5,100526,7500000,7399474,95.891527
how_many_days_in_a_year_5_30s_burst_5,143872,7500000,7356128,93.875124
how_many_days_until_thanksgiving_5_burst_5,124753,7500000,7375247,96.000707
how_many_days_untill_christmas_5_30s_burst_5,109575,7500000,7390425,95.09527
how_many_fantasy_points_does_lebron_james_have_5_burst_5,190381,7500000,7309619,94.538497
how_many_ounces_in_pound_5_30s_burst_5,92863,7500000,7407137,93.336717
how_many_seconds_in_a_year_5_burst_5,151741,7500000,7348259,96.499796
how_many_teaspoons_in_a_table_spoon_5_burst_5,111295,7500000,7388705,95.464303
how_much_is_an_ounce_of_gold_5_burst_5,148813,7500000,7351187,95.759699
how_old_are_you_5_burst_5,93025,7500000,7406975,96.750086
how_old_is_henry_winkler_5_burst_5,47490,7500000,7452510,98.144099
how_old_is_serena_williams_5_burst_5,124573,7500000,7375427,95.884031
how_tall_is_steph_curry_5_burst_5,112595,7500000,7387405,96.321046
how_tall_is_the_empire_state_building_5_burst_5,120172,7500000,7379828,95.276236
how_tall_is_the_rock_5_burst_5,122004,7500000,7377996,93.007092
is_a_tomato_a_fruit_or_a_vegetable_5_burst_5,146586,7500000,7353414,95.295342
pick_a_number_burst_5,98636,7500000,7401364,96.855515
play_npr_5_30s_burst_5,3129829,8482500,5352671,45.720679
set_a_timer_for_thirty_seconds_5_20s_burst_5,102105,7500000,7397895,95.592083
set_volume_to_five_5_30s_burst_5,76799,7500000,7423201,95.497526
surprise_me_5_burst_5,1402540,7500000,6097460,93.832467
talk_like_a_pirate_5_burst_5,298400,7500000,7201600,95.641534
tell_me_a_barbecue_joke_5_burst_5,129436,7500000,7370564,96.29697
tell_me_a_coffe_joke_5_burst_5,57448,7500000,7442552,97.282505
tell_me_a_fun_fact_5_burst_5,159946,7500000,7340054,96.186177
tell_me_a_halloween_hack_5_burst_5,135354,7500000,7364646,96.501957
tell_me_a_joke_5_30s_burst_5,116057,7500000,7383943,95.613395
tell_me_a_spooky_story_5_burst_5,1932156,7500000,5567844,93.668108
tell_me_a_star_wars_joke_5_burst_5,111564,7500000,7388436,96.588061
tell_me_a_story_about_robots_5_burst_5,1706341,7500000,5793659,93.170256
tell_me_some_good_news_5_burst_5,208759,7500000,7291241,96.142077
tell_me_something_wierd_5_burst_5,256294,7500000,7243706,95.070578
translate_good_morning_to_spanish_5_30s_burst_5,128587,7500000,7371413,95.723626
what's_in_the_news_5_30s_burst_5,2834822,7500000,4665178,96.418663
what's_the_weather_going_to_be_like_this_weekend_5_30s_burst_5,122263,7500000,7377737,96.022507
what_are_the_most_popular_books_this_week_5_burst_5,132371,7500000,7367629,93.5297
what_are_the_standings_in_the_english_premier_league_5_burst_5,188136,7500000,7311864,94.376755
what_are_you_thankful_for_5_burst_5,113154,7500000,7386846,96.26126
what_happened_in_the_midterm_election_5_burst_5,435931,7500000,7064069,94.070391
what_is_gluten_5_burst_5,153153,7500000,7346847,96.513734
what_is_homecoming_about_5_burst_5,229965,7500000,7270035,96.372102
what_is_my_sports_update_5_20_122_223_320_428_capture_burst_5,218027,7500000,7281973,95.396877
what_is_my_traffic_report_5_30s_burst_5,140422,7500000,7359578,96.092962
what_is_roblox_5_burst_5,167201,7500000,7332799,95.72952
what_is_the_capital_of_spain_5_30s_burst_5,148887,7500000,7351113,93.8651
what_is_the_colts_pats_score_5_8_27_49_71_95_burst_5,139216,7500000,7360784,94.847256
what_is_the_date_tomorrow_burst_5,101922,7500000,7398078,96.533746
what_is_the_number_one_song_this_week_5_30s_burst_5,118392,7500000,7381608,96.223947
what_is_the_scariest_movie_of_all_time_burst_5,174377,7500000,7325623,95.768541
what_is_the_score_of_the_red_sox_game_6_30s_burst_5,149681,7500000,7350319,94.371183
what_is_the_time_in_singapore_5_30s_burst_5,103467,7500000,7396533,95.522015
what_is_the_weather_5_60_80_100_120_140_capture_burst_5,146978,7500000,7353022,97.012002
what_is_zero_divided_by_zero_5_30s_burst_5,114605,7500000,7385395,95.090788
what_movies_are_playing_5_30s_burst_5,104844,7500000,7395156,96.775412
what_the_best_comedy_movie_5_burst_5,59502,7500000,7440498,96.881058
what_time_is_it_5_0_18_31_47_58_capture_burst_5,113071,7500000,7386929,95.188912
what_time_is_it_in_hawaii_5_burst_5,108133,7500000,7391867,94.411884
what_time_is_sunset_5_burst_5,127701,7500000,7372299,95.822079
whats_another_word_for_happy_5_burst_5,137958,7500000,7362042,95.447683
whats_the_fourth_book_in_narnia_series_5_burst_5,121664,7500000,7378336,93.449153
whats_the_history_of_labor_day_5_burst_5,250323,7500000,7249677,95.729857
whats_the_longest_word_5_burst_5,287620,7500000,7212380,95.968924
whats_the_price_of_bitcoin_5_burst_5,136203,7500000,7363797,96.22139
whats_the_question_of_the_day_5_burst_5,374428,7500000,7125572,92.008718
whats_the_score_of_the_eagles_game_5_burst_5,151045,7500000,7348955,94.717561
whats_the_weather_for_sunday_5_burst_5,144150,7500000,7355850,95.522733
whats_trending_5_burst_5,2403741,7500000,5096259,89.24515
whats_your_favorite_flower_5_burst_5,122010,7500000,7377990,96.315509
whats_your_favorite_hobby_5_burst_5,115846,7500000,7384154,96.429139
whats_your_favorite_sport_5_burst_5,140619,7500000,7359381,96.811474
when_does_daylight_saving_time_end_5_burst_5,146538,7500000,7353462,95.674648
when_is_hanukkah_5_burst_5,121608,7500000,7378392,94.880574
when_is_the_next_full_moon_5_30s_burst_5,143593,7500000,7356407,96.20193
where_did_yoda_live_5_burst_5,170257,7500000,7329743,95.763717
where_is_mount_rushmore_5_burst_5,332656,7500000,7167344,91.698525
who_do_you_love_5_burst_5,116999,7500000,7383001,96.578213
who_is_in_mastodon_5_30s_burst_5,135736,7500000,7364264,95.30312
who_is_winning_the_world_series_5_burst_5,104678,7500000,7395322,95.879369
who_is_your_favorite_poet_5_burst_5,136114,7500000,7363886,96.163145
who_plays_wolverine_in_xmen_5_30s_burst_5,118141,7500000,7381859,95.849155
who_scored_for_the_golden_knights_5_burst_5,122863,7500000,7377137,95.597412
who_wrote_anna_karenina_5_30s_burst_5,139855,7500000,7360145,95.732133
who_wrote_elevation_5_burst_5,97333,7500000,7402667,96.122413
whos_playing_monday_night_football_5_burst_5,140477,7500000,7359523,94.940712
whos_your_favorite_author_5_burst_5,115797,7500000,7384203,96.75572
whos_your_favorite_superhero_5_burst_5,155424,7500000,7344576,95.913276
why_do_leaves_change_color_in_the_fall_5_burst_5,255596,7500000,7244404,95.077573
will_it_rain_tomorrow_5_30s_burst_5,96516,7500000,7403484,95.529712
