index,time,size,direction,overhead,status
0,0.0,1500,1,1434,padded
1,0.02,1500,-1,0,chopped
2,0.04,1500,-1,1486,chopped_padded
3,0.06,1500,-1,0,chopped
4,0.08,1500,-1,1486,chopped_padded
5,0.1,1500,1,1422,padded
6,0.12,1500,1,1422,padded
7,0.14,1500,-1,921,padded
8,0.16,1500,-1,0,chopped
9,0.18,1500,-1,1486,chopped_padded
10,0.2,1500,-1,0,chopped
11,0.22,1500,-1,1486,chopped_padded
12,0.24,1500,-1,0,chopped
13,0.26,1500,-1,1486,chopped_padded
14,0.28,1500,1,1434,padded
15,0.3,1500,1,1422,padded
16,0.32,1500,1,1434,padded
17,0.34,1500,1,1434,padded
18,0.36,1500,-1,0,chopped
19,0.38,1500,-1,1486,chopped_padded
20,0.4,1500,-1,0,chopped
21,0.42,1500,-1,1486,chopped_padded
22,0.44,1500,-1,0,chopped
23,0.46,1500,-1,1486,chopped_padded
24,0.48,1500,-1,0,chopped
25,0.5,1500,-1,1486,chopped_padded
26,0.52,1500,-1,0,chopped
27,0.54,1500,-1,1486,chopped_padded
28,0.56,1500,-1,0,chopped
29,0.58,1500,-1,1486,chopped_padded
30,0.6,1500,1,1434,padded
31,0.62,1500,1,1434,padded
32,0.64,1500,1,1434,padded
33,0.66,1500,1,1434,padded
34,0.68,1500,1,1434,padded
35,0.7,1500,1,1434,padded
36,0.72,1500,-1,0,chopped
37,0.74,1500,-1,1486,chopped_padded
38,0.76,1500,-1,0,chopped
39,0.78,1500,-1,1486,chopped_padded
40,0.8,1500,-1,0,chopped
41,0.82,1500,-1,1486,chopped_padded
42,0.84,1500,-1,0,chopped
43,0.86,1500,-1,1486,chopped_padded
44,0.88,1500,-1,0,chopped
45,0.9,1500,-1,1486,chopped_padded
46,0.92,1500,-1,0,chopped
47,0.94,1500,-1,1486,chopped_padded
48,0.96,1500,-1,0,chopped
49,0.98,1500,-1,1486,chopped_padded
50,1.0,1500,-1,0,chopped
51,1.02,1500,-1,1486,chopped_padded
52,1.04,1500,1,1434,padded
53,1.06,1500,1,1434,padded
54,1.08,1500,1,1434,padded
55,1.1,1500,1,1434,padded
56,1.12,1500,1,1434,padded
57,1.14,1500,1,1434,padded
58,1.16,1500,1,1434,padded
59,1.18,1500,-1,0,chopped
60,1.2,1500,-1,1486,chopped_padded
61,1.22,1500,-1,0,chopped
62,1.24,1500,-1,1486,chopped_padded
63,1.26,1500,-1,0,chopped
64,1.28,1500,-1,1486,chopped_padded
65,1.3,1500,-1,0,chopped
66,1.32,1500,-1,1486,chopped_padded
67,1.34,1500,-1,0,chopped
68,1.36,1500,-1,1486,chopped_padded
69,1.38,1500,-1,0,chopped
70,1.4,1500,-1,1486,chopped_padded
71,1.42,1500,1,1434,padded
72,1.44,1500,1,1434,padded
73,1.46,1500,1,1434,padded
74,1.48,1500,-1,0,chopped
75,1.5,1500,-1,1486,chopped_padded
76,1.52,1500,-1,0,chopped
77,1.54,1500,-1,1486,chopped_padded
78,1.56,1500,1,1434,padded
79,1.58,1500,-1,0,chopped
80,1.6,1500,-1,1486,chopped_padded
81,1.62,1500,-1,0,chopped
82,1.64,1500,-1,1486,chopped_padded
83,1.66,1500,-1,0,chopped
84,1.68,1500,-1,1486,chopped_padded
85,1.7,1500,-1,0,chopped
86,1.72,1500,-1,1486,chopped_padded
87,1.74,1500,-1,0,chopped
88,1.76,1500,-1,1486,chopped_padded
89,1.78,1500,-1,0,chopped
90,1.8,1500,-1,1486,chopped_padded
91,1.82,1500,1,1434,padded
92,1.84,1500,1,1434,padded
93,1.86,1500,1,1434,padded
94,1.88,1500,-1,0,chopped
95,1.9,1500,-1,1486,chopped_padded
96,1.92,1500,-1,0,chopped
97,1.94,1500,-1,1486,chopped_padded
98,1.96,1500,1,1434,padded
99,1.98,1500,-1,0,chopped
100,2.0,1500,-1,1486,chopped_padded
101,2.02,1500,-1,0,chopped
102,2.04,1500,-1,1486,chopped_padded
103,2.06,1500,-1,0,chopped
104,2.08,1500,-1,1486,chopped_padded
105,2.1,1500,-1,0,chopped
106,2.12,1500,-1,1486,chopped_padded
107,2.14,1500,-1,0,chopped
108,2.16,1500,-1,1486,chopped_padded
109,2.18,1500,-1,0,chopped
110,2.2,1500,-1,1486,chopped_padded
111,2.22,1500,1,1434,padded
112,2.24,1500,1,1434,padded
113,2.26,1500,1,1434,padded
114,2.28,1500,-1,0,chopped
115,2.3,1500,-1,1486,chopped_padded
116,2.32,1500,-1,0,chopped
117,2.34,1500,-1,1486,chopped_padded
118,2.36,1500,1,1434,padded
119,2.38,1500,-1,0,chopped
120,2.4,1500,-1,1486,chopped_padded
121,2.42,1500,-1,0,chopped
122,2.44,1500,-1,1486,chopped_padded
123,2.46,1500,-1,0,chopped
124,2.48,1500,-1,1486,chopped_padded
125,2.5,1500,-1,0,chopped
126,2.52,1500,-1,1486,chopped_padded
127,2.54,1500,-1,0,chopped
128,2.56,1500,-1,1486,chopped_padded
129,2.58,1500,-1,0,chopped
130,2.6,1500,-1,1486,chopped_padded
131,2.62,1500,1,1434,padded
132,2.64,1500,1,1434,padded
133,2.66,1500,1,1434,padded
134,2.68,1500,-1,0,chopped
135,2.7,1500,-1,1486,chopped_padded
136,2.72,1500,-1,0,chopped
137,2.74,1500,-1,1486,chopped_padded
138,2.76,1500,1,1434,padded
139,2.78,1500,-1,0,chopped
140,2.8,1500,-1,1486,chopped_padded
141,2.82,1500,-1,0,chopped
142,2.84,1500,-1,1486,chopped_padded
143,2.86,1500,-1,0,chopped
144,2.88,1500,-1,1486,chopped_padded
145,2.9,1500,-1,0,chopped
146,2.92,1500,-1,1486,chopped_padded
147,2.94,1500,1,1434,padded
148,2.96,1500,1,1434,padded
149,2.98,1500,-1,0,chopped
150,3.0,1500,-1,1486,chopped_padded
151,3.02,1500,-1,0,chopped
152,3.04,1500,-1,1486,chopped_padded
153,3.06,1500,-1,0,chopped
154,3.08,1500,-1,1486,chopped_padded
155,3.1,1500,-1,0,chopped
156,3.12,1500,-1,1486,chopped_padded
157,3.14,1500,1,1434,padded
158,3.16,1500,1,1434,padded
159,3.18,1500,-1,0,chopped
160,3.2,1500,-1,1486,chopped_padded
161,3.22,1500,1,1434,padded
162,3.24,1500,-1,0,chopped
163,3.26,1500,-1,1486,chopped_padded
164,3.28,1500,-1,0,chopped
165,3.3,1500,-1,1486,chopped_padded
166,3.32,1500,-1,0,chopped
167,3.34,1500,-1,1486,chopped_padded
168,3.36,1500,-1,0,chopped
169,3.38,1500,-1,1486,chopped_padded
170,3.4,1500,-1,0,chopped
171,3.42,1500,-1,1486,chopped_padded
172,3.44,1500,-1,0,chopped
173,3.46,1500,-1,1486,chopped_padded
174,3.48,1500,-1,0,chopped
175,3.5,1500,-1,1486,chopped_padded
176,3.52,1500,-1,0,chopped
177,3.54,1500,-1,1486,chopped_padded
178,3.56,1500,-1,0,chopped
179,3.58,1500,-1,1486,chopped_padded
180,3.6,1500,1,1434,padded
181,3.62,1500,1,1434,padded
182,3.64,1500,1,1434,padded
183,3.66,1500,1,1434,padded
184,3.68,1500,-1,0,chopped
185,3.7,1500,-1,1486,chopped_padded
186,3.72,1500,-1,0,chopped
187,3.74,1500,-1,1486,chopped_padded
188,3.76,1500,1,1434,padded
189,3.78,1500,-1,0,chopped
190,3.8,1500,-1,1486,chopped_padded
191,3.82,1500,-1,0,chopped
192,3.84,1500,-1,1486,chopped_padded
193,3.86,1500,-1,0,chopped
194,3.88,1500,-1,1486,chopped_padded
195,3.9,1500,-1,0,chopped
196,3.92,1500,-1,1486,chopped_padded
197,3.94,1500,-1,0,chopped
198,3.96,1500,-1,1486,chopped_padded
199,3.98,1500,-1,0,chopped
200,4.0,1500,-1,1486,chopped_padded
201,4.02,1500,-1,0,chopped
202,4.04,1500,-1,1486,chopped_padded
203,4.06,1500,-1,0,chopped
204,4.08,1500,-1,1486,chopped_padded
205,4.1,1500,1,1434,padded
206,4.12,1500,-1,0,chopped
207,4.14,1500,-1,1486,chopped_padded
208,4.16,1500,-1,0,chopped
209,4.18,1500,-1,1486,chopped_padded
210,4.2,1500,1,1434,padded
211,4.22,1500,1,1434,padded
212,4.24,1500,1,1434,padded
213,4.26,1500,1,1434,padded
214,4.28,1500,-1,0,chopped
215,4.3,1500,-1,1486,chopped_padded
216,4.32,1500,-1,0,chopped
217,4.34,1500,-1,1486,chopped_padded
218,4.36,1500,-1,0,chopped
219,4.38,1500,-1,1486,chopped_padded
220,4.4,1500,-1,0,chopped
221,4.42,1500,-1,1486,chopped_padded
222,4.44,1500,-1,0,chopped
223,4.46,1500,-1,1486,chopped_padded
224,4.48,1500,-1,0,chopped
225,4.5,1500,-1,1486,chopped_padded
226,4.52,1500,-1,0,chopped
227,4.54,1500,-1,1486,chopped_padded
228,4.56,1500,-1,0,chopped
229,4.58,1500,-1,1486,chopped_padded
230,4.6,1500,1,1434,padded
231,4.62,1500,1,1434,padded
232,4.64,1500,-1,0,chopped
233,4.66,1500,-1,1486,chopped_padded
234,4.68,1500,-1,621,padded
235,4.7,1500,1,1434,padded
236,4.72,1500,1,1434,padded
237,4.74,1500,1,1434,padded
238,4.76,1500,1,1434,padded
239,4.78,1500,-1,0,chopped
240,4.8,1500,-1,1486,chopped_padded
241,4.82,1500,-1,0,chopped
242,4.84,1500,-1,1486,chopped_padded
243,4.86,1500,-1,197,padded
244,4.88,1500,-1,0,chopped
245,4.9,1500,-1,1486,chopped_padded
246,4.92,1500,-1,0,chopped
247,4.94,1500,-1,1486,chopped_padded
248,4.96,1500,-1,197,padded
249,4.98,1500,-1,0,chopped
250,5.0,1500,-1,1486,chopped_padded
251,5.02,1500,-1,0,chopped
252,5.04,1500,-1,1486,chopped_padded
253,5.06,1500,-1,197,padded
254,5.08,1500,-1,0,chopped
255,5.1,1500,-1,1486,chopped_padded
256,5.12,1500,-1,0,chopped
257,5.14,1500,-1,1486,chopped_padded
258,5.16,1500,-1,197,padded
259,5.18,1500,1,1434,padded
260,5.2,1500,1,1434,padded
261,5.22,1500,1,1434,padded
262,5.24,1500,1,1434,padded
263,5.26,1500,1,1434,padded
264,5.28,1500,1,1434,padded
265,5.3,1500,1,1434,padded
266,5.32,1500,1,1434,padded
267,5.34,1500,1,1434,padded
268,5.36,1500,1,1434,padded
269,5.38,1500,1,1434,padded
270,5.4,1500,1,1434,padded
271,5.42,1500,-1,1077,padded
272,5.44,1500,1,1434,padded
