index,time,size,direction,overhead,status
0,0.0,1500,1,1215,padded
1,0.02,1500,-1,1440,padded
2,0.04,1500,1,0,chopped
3,0.06,1500,1,1486,chopped_padded
4,0.08,1500,1,1153,padded
5,0.1,1500,1,209,padded
6,0.12,1500,1,1009,padded
7,0.14,1500,-1,1440,padded
8,0.16,1500,-1,1440,padded
9,0.18,1500,-1,1440,padded
10,0.2,1500,-1,1401,padded
11,0.22,1500,1,1446,padded
12,0.24,1500,1,1009,padded
13,0.26,1500,1,1009,padded
14,0.28,1500,1,1009,padded
15,0.3,1500,-1,1440,padded
16,0.32,1500,1,1009,padded
17,0.34,1500,1,1009,padded
18,0.36,1500,1,0,chopped
19,0.38,1500,1,1486,chopped_padded
20,0.4,1500,1,1269,padded
21,0.42,1500,-1,1440,padded
22,0.44,1500,-1,1440,padded
23,0.46,1500,-1,1440,padded
24,0.48,1500,-1,1440,padded
25,0.5,1500,-1,1440,padded
26,0.52,1500,-1,1440,padded
27,0.54,1500,-1,1440,padded
28,0.56,1500,1,0,chopped
29,0.58,1500,1,1486,chopped_padded
30,0.6,1500,1,0,chopped
31,0.62,1500,1,1486,chopped_padded
32,0.64,1500,1,0,chopped
33,0.66,1500,1,1486,chopped_padded
34,0.68,1500,1,0,chopped
35,0.7,1500,1,1486,chopped_padded
36,0.72,1500,1,0,chopped
37,0.74,1500,1,1486,chopped_padded
38,0.76,1500,1,0,chopped
39,0.78,1500,1,1486,chopped_padded
40,0.8,1500,1,95,padded
41,0.82,1500,-1,1286,padded
42,0.84,1500,-1,1440,padded
43,0.86,1500,-1,1440,padded
44,0.88,1500,-1,1440,padded
45,0.9,1500,1,1009,padded
46,0.92,1500,-1,1440,padded
47,0.94,1500,1,1009,padded
48,0.96,1500,1,1009,padded
49,0.98,1500,-1,1440,padded
50,1.0,1500,1,1009,padded
51,1.02,1500,1,1009,padded
52,1.04,1500,-1,1440,padded
53,1.06,1500,1,1009,padded
54,1.08,1500,1,1009,padded
55,1.1,1500,-1,1440,padded
56,1.12,1500,1,1009,padded
57,1.14,1500,1,1009,padded
58,1.16,1500,-1,1440,padded
59,1.18,1500,1,1009,padded
60,1.2,1500,1,1009,padded
61,1.22,1500,-1,1440,padded
62,1.24,1500,-1,1440,padded
63,1.26,1500,1,1009,padded
64,1.28,1500,-1,1440,padded
65,1.3,1500,1,1009,padded
66,1.32,1500,-1,1440,padded
67,1.34,1500,1,1009,padded
68,1.36,1500,-1,1440,padded
69,1.38,1500,1,1009,padded
70,1.4,1500,-1,1440,padded
71,1.42,1500,1,1009,padded
72,1.44,1500,-1,1440,padded
73,1.46,1500,1,1009,padded
74,1.48,1500,-1,1440,padded
75,1.5,1500,1,1009,padded
76,1.52,1500,-1,1440,padded
77,1.54,1500,1,1009,padded
78,1.56,1500,-1,1440,padded
79,1.58,1500,1,1009,padded
80,1.6,1500,-1,1440,padded
81,1.62,1500,1,1009,padded
82,1.64,1500,-1,1440,padded
83,1.66,1500,1,1009,padded
84,1.68,1500,-1,1440,padded
85,1.7,1500,1,1009,padded
86,1.72,1500,-1,1440,padded
87,1.74,1500,1,1009,padded
88,1.76,1500,1,1009,padded
89,1.78,1500,-1,1440,padded
90,1.8,1500,-1,1440,padded
91,1.82,1500,1,1009,padded
92,1.84,1500,-1,1440,padded
93,1.86,1500,1,1009,padded
94,1.88,1500,-1,1440,padded
95,1.9,1500,1,1009,padded
96,1.92,1500,-1,1440,padded
97,1.94,1500,1,1009,padded
98,1.96,1500,-1,1440,padded
99,1.98,1500,1,1009,padded
100,2.0,1500,-1,1440,padded
101,2.02,1500,1,1009,padded
102,2.04,1500,1,1009,padded
103,2.06,1500,-1,1440,padded
104,2.08,1500,-1,1440,padded
105,2.1,1500,1,1009,padded
106,2.12,1500,-1,1440,padded
107,2.14,1500,1,0,chopped
108,2.16,1500,1,1486,chopped_padded
109,2.18,1500,-1,1440,padded
110,2.2,1500,1,135,padded
111,2.22,1500,-1,1440,padded
112,2.24,1500,1,1423,padded
113,2.26,1500,-1,1423,padded
114,2.28,1500,1,0,chopped
115,2.3,1500,1,1486,chopped_padded
116,2.32,1500,1,0,chopped
117,2.34,1500,1,1486,chopped_padded
118,2.36,1500,1,0,chopped
119,2.38,1500,1,1486,chopped_padded
120,2.4,1500,1,0,chopped
121,2.42,1500,1,1486,chopped_padded
122,2.44,1500,1,880,padded
123,2.46,1500,1,1434,padded
124,2.48,1500,1,1009,padded
125,2.5,1500,-1,1440,padded
126,2.52,1500,-1,1440,padded
127,2.54,1500,-1,1440,padded
128,2.56,1500,-1,1401,padded
129,2.58,1500,-1,1401,padded
130,2.6,1500,1,1446,padded
131,2.62,1500,1,1009,padded
132,2.64,1500,-1,1440,padded
133,2.66,1500,-1,1440,padded
134,2.68,1500,1,1009,padded
135,2.7,1500,-1,1440,padded
136,2.72,1500,-1,1349,padded
137,2.74,1500,1,1009,padded
138,2.76,1500,1,1009,padded
139,2.78,1500,-1,1440,padded
140,2.8,1500,1,1009,padded
141,2.82,1500,1,1009,padded
142,2.84,1500,-1,1440,padded
143,2.86,1500,-1,1324,padded
144,2.88,1500,1,1446,padded
145,2.9,1500,1,1009,padded
146,2.92,1500,1,1009,padded
147,2.94,1500,-1,1440,padded
148,2.96,1500,-1,1440,padded
149,2.98,1500,1,1009,padded
150,3.0,1500,-1,1440,padded
151,3.02,1500,1,1009,padded
152,3.04,1500,-1,1440,padded
153,3.06,1500,1,1009,padded
154,3.08,1500,-1,1440,padded
155,3.1,1500,1,1009,padded
156,3.12,1500,-1,1440,padded
157,3.14,1500,1,1009,padded
158,3.16,1500,-1,1284,padded
159,3.18,1500,-1,0,chopped
160,3.2,1500,-1,1486,chopped_padded
161,3.22,1500,-1,0,chopped
162,3.24,1500,-1,1486,chopped_padded
163,3.26,1500,-1,870,padded
164,3.28,1500,1,1446,padded
165,3.3,1500,-1,1440,padded
166,3.32,1500,1,1446,padded
167,3.34,1500,1,1446,padded
168,3.36,1500,-1,0,chopped
169,3.38,1500,-1,1486,chopped_padded
170,3.4,1500,-1,0,chopped
171,3.42,1500,-1,1486,chopped_padded
172,3.44,1500,-1,233,padded
173,3.46,1500,-1,1292,padded
174,3.48,1500,1,1446,padded
175,3.5,1500,1,1446,padded
176,3.52,1500,1,1009,padded
177,3.54,1500,1,1401,padded
178,3.56,1500,-1,0,chopped
179,3.58,1500,-1,1486,chopped_padded
180,3.6,1500,-1,0,chopped
181,3.62,1500,-1,1486,chopped_padded
182,3.64,1500,-1,233,padded
183,3.66,1500,-1,0,chopped
184,3.68,1500,-1,1486,chopped_padded
185,3.7,1500,-1,0,chopped
186,3.72,1500,-1,1486,chopped_padded
187,3.74,1500,-1,1172,padded
188,3.76,1500,-1,470,padded
